Week,Day,2017,2018,2019,2020,2021
Week 27,Monday,0.0,995.54,1328.8899999999999,661.0,1268.63
Week 27,Tuesday,0.0,2718.34,1740.1299999999999,659.25,1467.3999999999999
Week 27,Wednesday,0.0,0.0,2883.23,1058.49,4056.15
Week 27,Thursday,0.0,1256.79,0.0,1131.74,1432.77
Week 27,Friday,0.0,2087.4,2792.09,1521.7,2177.34
Week 27,Saturday,0.0,3464.32,1805.12,0.0,2114.67
Week 27,Sunday,0.0,1273.07,1636.59,682.45,5116.91
Week 27,Total,0.0,11795.46,12186.05,5714.629999999999,17633.870000000003
Week 28,Monday,0.0,1096.1,1309.4399999999998,780.27,1083.24
Week 28,Tuesday,0.0,1497.0699999999997,1400.8200000000002,0.0,1887.26
Week 28,Wednesday,0.0,3742.2599999999998,2834.58,0.0,2307.83
Week 28,Thursday,0.0,1871.05,1521.42,0.0,2021.8799999999999
Week 28,Friday,0.0,1880.77,2070.86,0.0,1880.1100000000001
Week 28,Saturday,0.0,2626.33,2338.48,0.0,1898.28
Week 28,Sunday,0.0,1633.04,1596.5,0.0,1437.5900000000001
Week 28,Total,0.0,14346.619999999999,13072.1,780.27,12516.19
Week 29,Monday,0.0,1370.13,1881.48,0.0,794.46
Week 29,Tuesday,0.0,1358.69,956.3100000000001,0.0,1639.4299999999998
Week 29,Wednesday,0.0,2001.9900000000002,2284.96,0.0,2554.7
Week 29,Thursday,0.0,1245.68,1716.54,0.0,1953.89
Week 29,Friday,0.0,1829.81,2510.54,1638.45,2190.4900000000002
Week 29,Saturday,0.0,2347.44,2024.61,1213.08,2092.69
Week 29,Sunday,0.0,937.23,1777.5300000000002,410.29,1408.92
Week 29,Total,0.0,11090.970000000001,13151.970000000001,3261.8199999999997,12634.580000000002
Week 30,Monday,0.0,1119.12,1446.8400000000001,739.6500000000001,781.72
Week 30,Tuesday,0.0,1101.1799999999998,1154.8300000000002,635.3299999999999,1011.44
Week 30,Wednesday,0.0,1561.6000000000001,2046.13,887.73,1937.16
Week 30,Thursday,0.0,1518.18,1381.96,672.87,2072.96
Week 30,Friday,0.0,1825.51,1814.0,1318.04,2346.0699999999997
Week 30,Saturday,0.0,1764.4099999999999,1971.15,806.4300000000001,1664.41
Week 30,Sunday,0.0,903.1600000000001,1479.27,686.04,1257.97
Week 30,Total,0.0,9793.16,11294.18,5746.09,11071.73
Week 31,Monday,0.0,1536.81,1112.81,744.3399999999999,746.58
Week 31,Tuesday,0.0,1172.18,2099.7599999999998,1344.75,1485.58
Week 31,Wednesday,0.0,1687.0499999999997,2816.3500000000004,1122.84,2386.54
Week 31,Thursday,0.0,1267.51,1965.0900000000001,1398.8500000000001,1568.24
Week 31,Friday,0.0,2004.2600000000002,3142.99,1690.1100000000001,1960.22
